Step,Source_Node,Destination_Node,Attention_Score,Source_Features,Destination_Features,Infection_Ratio,Connectivity_Ratio,Reward
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.85,0.8629032258064516,0.3064516129032258
18,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.9,0.8548387096774194,0.27741935483870966
19,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8467741935483871,0.2608870967741935
20,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
15,32,24,0.16826049983501434,"[63.67681121826172, 0.3847673237323761, 4.0]","[88.87308502197266, 0.314677894115448, 6.0]",0.875,0.8790322580645161,0.30201612903225805
16,13,1,0.2900940179824829,"[89.69065856933594, 0.3616350293159485, 4.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8709677419354839,0.2729838709677419
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.9,0.8629032258064516,0.2814516129032258
18,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.825,0.8548387096774194,0.3149193548387097
19,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.825,0.8467741935483871,0.31088709677419357
20,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
15,32,24,0.16826049983501434,"[63.67681121826172, 0.3847673237323761, 4.0]","[88.87308502197266, 0.314677894115448, 6.0]",0.875,0.8790322580645161,0.30201612903225805
16,13,1,0.2900940179824829,"[89.69065856933594, 0.3616350293159485, 4.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8709677419354839,0.2729838709677419
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.9,0.8629032258064516,0.2814516129032258
18,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.825,0.8548387096774194,0.3149193548387097
19,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.825,0.8467741935483871,0.31088709677419357
20,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
15,32,24,0.16826049983501434,"[63.67681121826172, 0.3847673237323761, 4.0]","[88.87308502197266, 0.314677894115448, 6.0]",0.875,0.8790322580645161,0.30201612903225805
16,13,1,0.2900940179824829,"[89.69065856933594, 0.3616350293159485, 4.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8709677419354839,0.2729838709677419
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.9,0.8629032258064516,0.2814516129032258
18,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.825,0.8548387096774194,0.3149193548387097
19,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.825,0.8467741935483871,0.31088709677419357
20,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
15,32,24,0.16826049983501434,"[63.67681121826172, 0.3847673237323761, 4.0]","[88.87308502197266, 0.314677894115448, 6.0]",0.875,0.8790322580645161,0.30201612903225805
16,13,1,0.2900940179824829,"[89.69065856933594, 0.3616350293159485, 4.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8709677419354839,0.2729838709677419
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.9,0.8629032258064516,0.2814516129032258
18,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.825,0.8548387096774194,0.3149193548387097
19,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.825,0.8467741935483871,0.31088709677419357
20,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
15,32,24,0.16826049983501434,"[63.67681121826172, 0.3847673237323761, 4.0]","[88.87308502197266, 0.314677894115448, 6.0]",0.875,0.8790322580645161,0.30201612903225805
16,13,1,0.2900940179824829,"[89.69065856933594, 0.3616350293159485, 4.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8709677419354839,0.2729838709677419
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.9,0.8629032258064516,0.2814516129032258
18,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.825,0.8548387096774194,0.3149193548387097
19,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.825,0.8467741935483871,0.31088709677419357
20,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
15,32,24,0.16826049983501434,"[63.67681121826172, 0.3847673237323761, 4.0]","[88.87308502197266, 0.314677894115448, 6.0]",0.875,0.8790322580645161,0.30201612903225805
16,13,1,0.2900940179824829,"[89.69065856933594, 0.3616350293159485, 4.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8709677419354839,0.2729838709677419
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.9,0.8629032258064516,0.2814516129032258
18,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.825,0.8548387096774194,0.3149193548387097
19,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.825,0.8467741935483871,0.31088709677419357
20,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
15,32,24,0.16826049983501434,"[63.67681121826172, 0.3847673237323761, 4.0]","[88.87308502197266, 0.314677894115448, 6.0]",0.875,0.8790322580645161,0.30201612903225805
16,13,1,0.2900940179824829,"[89.69065856933594, 0.3616350293159485, 4.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.925,0.8709677419354839,0.2729838709677419
17,26,38,0.44644665718078613,"[22.858442306518555, 0.13963031768798828, 4.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.9,0.8629032258064516,0.2814516129032258
18,20,1,0.21762172877788544,"[24.70622444152832, 0.37945544719696045, 2.0]","[22.558414459228516, 0.10249517858028412, 8.0]",0.825,0.8548387096774194,0.3149193548387097
19,39,38,0.14153963327407837,"[92.13650512695312, 0.8705185651779175, 11.0]","[97.46993255615234, 0.7619621753692627, 8.0]",0.825,0.8467741935483871,0.31088709677419357
20,38,15,0.2671671509742737,"[97.46993255615234, 0.7619621753692627, 8.0]","[79.5761489868164, 0.9852215051651001, 6.0]",0.875,0.8387096774193549,0.2818548387096774
1,27,12,0.07769687473773956,"[58.507957458496094, 0.7470138072967529, 10.0]","[17.092018127441406, 0.2931782901287079, 7.0]",0.95,0.9919354838709677,0.3209677419354839
2,39,18,0.4591202437877655,"[92.13650512695312, 0.8705185651779175, 11.0]","[41.974361419677734, 0.6701751947402954, 4.0]",0.9,0.9838709677419355,0.3419354838709677
3,16,17,0.35146623849868774,"[87.98352813720703, 0.3801262378692627, 7.0]","[67.21160125732422, 0.36483219265937805, 5.0]",0.95,0.9758064516129032,0.31290322580645163
4,38,11,0.2225162386894226,"[97.46993255615234, 0.7619621753692627, 8.0]","[58.260528564453125, 0.9731157422065735, 9.0]",0.875,0.967741935483871,0.3463709677419355
5,23,37,0.23726141452789307,"[46.10483169555664, 0.06618860363960266, 7.0]","[49.12887191772461, 0.4537236988544464, 4.0]",0.925,0.9596774193548387,0.31733870967741934
6,39,20,0.3902125954627991,"[92.13650512695312, 0.8705185651779175, 11.0]","[24.70622444152832, 0.37945544719696045, 2.0]",0.875,0.9516129032258065,0.3383064516129032
7,19,14,0.05375450849533081,"[64.82179260253906, 0.17113864421844482, 7.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.9,0.9435483870967742,0.3217741935483871
8,32,39,0.12927307188510895,"[63.67681121826172, 0.3847673237323761, 4.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.875,0.9354838709677419,0.330241935483871
9,3,33,0.43396884202957153,"[18.432571411132812, 0.23266088962554932, 9.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.875,0.9274193548387096,0.3262096774193548
10,3,9,0.2666288912296295,"[18.432571411132812, 0.23266088962554932, 9.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.9,0.9193548387096774,0.30967741935483867
11,7,39,0.11575466394424438,"[72.8325424194336, 0.34025052189826965, 6.0]","[92.13650512695312, 0.8705185651779175, 11.0]",0.9,0.9112903225806451,0.30564516129032254
12,16,9,0.2073284238576889,"[87.98352813720703, 0.3801262378692627, 7.0]","[18.347126007080078, 0.09671637415885925, 5.0]",0.875,0.9032258064516129,0.31411290322580643
13,4,14,0.38574087619781494,"[12.388236999511719, 0.19883765280246735, 10.0]","[73.41146850585938, 0.045824382454156876, 5.0]",0.85,0.8951612903225806,0.3225806451612903
14,1,33,0.20526239275932312,"[22.558414459228516, 0.10249517858028412, 8.0]","[99.65092468261719, 0.5291143655776978, 5.0]",0.825,0.8870967741935484,0.3310483870967742
